ARI;#97233F;#FFB612
ATL;#A71930;#000000
WAS;#773141;#FFB612
PHI;#004C54;#A5ACAF
NYG;#0B2265;#A71930
DAL;#041E42;#869397
LAC;#0080C6;#FFC20E
OAK;#A5ACAF;#000000
KC;#E31837;#FFB81C
DEN;#FB4F14;#002244
TEN;#4B92DB;#0C2340
JAX;#006778;#101820
IND;#002C5F;#A2AAAD
HOU;#A71930;#03202F
PIT;#FFB612;#101820
CLE;#311D00;#FF3C00
CIN;#FB4F14;#000000
BAL;#241773;#9E7C0C
NYJ;#125740;#000000
NE;#002244;#C60C30
MIA;#008E97;#FC4C02
BUF;#00338D;#C60C30
SEA;#002244;#A5ACAF
SF;#AA0000;#B3995D
LA;#003594;#FFD100
TB;#D50A0A;#0A0A08
NO;#D3BC8D;#101820
CAR;#0085CA;#101820
MIN;#4F2683;#FFC62F
GB;#203731;#FFB612
DET;#0076B6;#B0B7BC
CHI;#0B162A;#C83803
